Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note
UCKAS2X6,journalArticle,2025,中国中西医结合学会检验医学专业委员会; 中华医学会检验医学分会; 中国医师协会检验医师分会; 中国妇幼保健协会; 中国医疗保健国际交流促进会基层检验技术标准化分会,子宫颈癌PAX1联合JAM3双基因甲基化检测流程、报告及临床应用专家共识,中华检验医学杂志,,1009-9158,10.3760/cma.j.cn114452-20241017-00566,https://rs.yiigle.com/cmaid/1530233,null 基于子宫颈癌筛查现状以及筛查方法、策略的发展，中国中西医结合学会检验医学专业委员会联合4个学（协）会，组织检验、病理、妇产多学科专家共同制定了甲基化检测与临床应用的共识。共识全面梳理了PAX1联合JAM3双基因甲基化（PAX1 /JAM3 ）检测的实验室操作流程及质控标准、样本采集与处理，提出了PAX1 /JAM3 检测意义及功能、实验室检测流程、质量控制、检测报告及临床应用建议。共识旨在推动子宫颈癌甲基化在实验室检测与临床的规范化应用，为检测结果的准确性和可靠性，并为明确临床应用场景，提供具备实践性与前瞻性的指导。
XUTMATER,journalArticle,2024,余芙蓉; 马洁稚; 周希; 李根林; 彭嘉琪; 李萍; 曾飞; 谢小兵; 董巍檑,女性阴道自采样本检测PAX1/JAM3双基因甲基化标志物作为子宫颈癌筛查的可行性评估,中华检验医学杂志,,1009-9158,10.3760/cma.j.cn114452-20240109-00016,https://rs.yiigle.com/cmaid/1499262,目的 探讨女性自采样本进行配对盒基因1（PAX1）/结合连接黏附分子 3（JAM3）双基因甲基化检测在子宫颈癌筛查与绝经前后女性分层管理的应用价值。方法 单中心横断面研究。2023年1—11月在阴道镜门诊同时收集女性自采样本及医生采样样本，分别进行PAX1/JAM3双基因甲基化（PAX1 /JAM3 ）检测，以组织病理学为标准。总计招募301例接受阴道镜检查女性，并对272例有组织病理与检测信息的女性进行统计分析。通过Spearman相关性分析和χ2检验比较两种采样方法PAX1 /JAM3 检测结果的一致性。通过计算受试者操作特征曲线（ROC）和曲线下面积（AUC）比较女性自采样本甲基化检测与现行临床检测及其组合方法在临床研究中用于子宫颈癌筛查的效益。 结果 在所有招募的受试者中，正常子宫颈组织或慢性子宫颈炎102例（37.5%）、子宫颈上皮内瘤变1级（CIN1）72例（26.4%）、CIN2 43例（15.8%）、CIN3 29例（10.7%）、子宫颈癌26例（9.6%）。按最低检出量公式计算区分成为81例一致性研究组和191例临床研究组。Spearman相关性分析表明，自采样本和医生采样样本进行PAX1和JAM3双基因甲基化检测结果的卡氏评分呈正相关（ =0.858、0.828， 均<0.001）；自采样本在临床研究中结果显示PAX1 /JAM3 检测诊断CIN2或更严重病变（CIN2+）的敏感度和特异度分别为77.6%（ 65.3%~86.4%）和87.2%（95% 80.5%~91.9%），PAX1 /JAM3 联合人乳头瘤病毒16/18型（HPV16/18）检测的敏感度与高危人乳头瘤病毒（hrHPV）检测相同为89.7%（95% 79.2%~95.2%）；在CIN3+时为96.0%（95% 80.4%~99.3%），优于hrHPV的92.0%（95% 75.0%~97.8%）、细胞学的82.6%（95% 62.9%~93.0%）及sPAX1 /JAM3 联合细胞学检测低度及以上鳞状上皮内病变（LBC ）［87.0%（95% 67.9%~95.5%）］。 结论 女性自采样本进行PAX1与JAM3双基因甲基化检测作为子宫颈癌筛查具有操作与临床可行性。
79ZRTJJT,journalArticle,2024,"Fei, Jing; Zhai, Lingyun; Wang, Jing; Zhu, Xiaoqing; Liu, Pei; Wang, Linhai; Ma, Dongxue; Li, Lei; Zhou, Jianwei",Evaluating PAX1/JAM3 methylation for triage in HPV 16/18-infected women,Clinical Epigenetics,,1868-7083,10.1186/s13148-024-01804-w,https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-024-01804-w,"OBJECTIVE: Referring all women who tested positive for human papillomavirus (HPV) 16/18 to colposcopy may lead to potential over-referral issues. Triage tests based on cytology results face challenges in achieving accurate diagnoses. Our study aims to assess the clinical effectiveness of PAX1/JAM3 methylation (CISCER) test as a triage method for HPV 16/18-positive women. METHODS: From November 2021 to December 2022, a total of 334 women who tested positive for HPV 16/18 and were referred to colposcopy at The Second Affiliated Hospital of Zhejiang University School of Medicine were studied. The clinical utility of the CISCER test, cytology, and the combination of CISCER with cytology as potential triage tests was compared. RESULTS: We observed a significant increase in the methylation levels of PAX1 gene and JAM3 gene in women with cervical intraepithelial neoplasia (CIN) grade 2 or severe (CIN2+). The CISCER test demonstrated superior triage performance over cytology, even when used in combination with cytology, showing a high sensitivity of 89.0% (95% confidence interval [CI] 82.9-95.1%) and specificity of 95.3% (95% CI 92.6-98.0%). It achieved an area under the curve of 0.921 (95% CI 0.877-0.966) and an odds ratio of 164.02 (95% CI 68.64-391.95). The immediate CIN2+?risk based on positive CISCER results would be 89.0% (95% CI 80.8-94.1%), with an estimated average of 1.12 referrals needed to detect one CIN2+?case. Moreover, CISCER triaging successfully identified all cancer patients and did not miss any CIN3+?cases among women aged?≥?30. CONCLUSIONS: The PAX1/JAM3 methylation detection exhibited excellent accuracy in identifying cervical precancerous lesions in HPV 16/18-positive women and could be considered as a triage tool to reduce excessive referrals for colposcopy and overtreatment."
WE7CKY4Z,journalArticle,2025,"Shang, Xiao; Kong, Linghua; You, Yan; Wu, Huanwen; Liou, Yuligh; Jin, Xitong; Liu, Pei; Lang, Jinghe; Li, Lei",Cytologic DNA methylation for managing minimally abnormal cervical cancer screening results,International Journal of Gynaecology and Obstetrics: The Official Organ of the International Federation of Gynaecology and Obstetrics,,1879-3479,10.1002/ijgo.70167,,"OBJECTIVES: To explore the role of a DNA methylation assay for managing minimally abnormal cervical cancer screening results in a prospective cohort undergoing opportunistic cervical cancer screening. METHODS: In the cohort of the METHY2 and METHY3 screening studies of women undergoing opportunistic cervical cancer screening, cervical cytology samples were sent for high-risk human papillomavirus (hrHPV) DNA assays, cytologic pathology and methylation assays of PAX1/JAM3 (CISCER). This study evaluated the discriminative power of CISCER in managing women with minimally abnormal cervical cancer screening results for CIN3+. Absolute CIN3+ risks and colposcopy referrals within one screening round were calculated. RESULTS: A total of 1857 women with minimally abnormal cervical cancer findings had cervical histologic outcomes and were included in the analysis. In women with a minimally abnormal cervical cancer result, the sensitivity and specificity of CISCER was 74.9% (95% confidence interval [CI], 68.3%-81.4%) and 89.1% (95% CI 87.6%-90.6%) for detecting CIN3+. CISCER analysis discriminated well for minimally abnormal cervical cancer results, yielding a CIN3+ risk of 40.5% (95% CI 34.9%-46.2%) after a positive result and a CIN3+ risk of 2.7% (95% CI 2.0%-3.6%) after a negative result. CONCLUSIONS: In women with a minimally abnormal cervical cancer screening result, the CISCER provides excellent detection of CIN3+. The use of CISCER in women with a minimally abnormal cervical cancer screening result can lead to a substantial reduction in the number of direct colposcopy referrals."
UR3YHH6E,journalArticle,2024,"Shang, X.; Kong, L. H.; Xiao, X. P.; Wan, R.; Wang, J.; Wu, H. W.; Chen, X. Y.; Shou, H. F.; Fei, J.; Zhou, J. W.; Lang, J. H.; Li, L.",[A multicenter study on the accuracy of PAX1/JAM3 dual genes methylation testing for screening cervical cancer],Zhonghua Yi Xue Za Zhi,,0376-2491,10.3760/cma.j.cn12137-20231004-00630,https://rs.yiigle.com/cmaid/1503178,"Objective: To explore the value of cervical cytologic DNA methylation for screening cervical cancer. Methods: This study was a prospective multicenter study conducted from May to October 2022 in Peking Union Medical College Hospital, Zhejiang Provincial People's Hospital, and the Second Affiliated Hospital of Zhejiang University School of Medicine. Women who accepted opportunistic cervical cancer screening in gynecological outpatient clinics were subjected to liquid-based thin-layer cytology testing (TCT), high-risk human papillomavirus (hrHPV) DNA testing and PAX1/JAM3 dual-genes methylation testing (PAX1m/JAM3m). Colposcopy evaluation and biopsy were offered to women according to current guidelines. The accuracies of various testing methods and their combinations were compared based on histological diagnosis. Results: A total of 1 184 samples diagnosed by histopathology were included in this study, consisting of 541 cases (45.7%) of benign cervical tissue or chronic cervicitis, 273 (23.1%) of cervical intraepithelial neoplasia (CIN) 1, 168 (14.2%) of CIN2, 140 (11.8%) of CIN3, and 62 (5.2%) of cervical cancer. The sensitivity and specificity of PAX1m/JAM3m testing for detecting CIN2 or more severe lesions (CIN2+) were 74.1% and 95.9%, respectively. The sensitivity and specificity of PAX1m/JAM3m testing for detecting CIN3+were 87.6% and 86.8%, respectively. Receiver operating characteristic curve analysis showed that, for detecting CIN3+, the area under curve of PAX1m/JAM3m testing (0.872, 95%CI: 0.847-0.897) was significantly superior to TCT testing (0.580, 95%CI: 0.551-0.610) or hrHPV testing (0.503, 95%CI: 0.479-0.515) (all P values<0.05). Conclusions: The PAX1m/JAM3m test in cervical exfoliated cells has excellent accuracy for the diagnosis of both CIN2+and CIN3+, which is superior to traditional screening protocols and screening strategies."
UVIHMEQX,journalArticle,2024,"Chen, Xiaojing; Jin, Xitong; Kong, Linghua; Liou, Yuligh; Liu, Pei; Dong, Zhe; Zhou, Sijun; Qi, Bingli; Fei, Jing; Chen, Xiaoyan; Xiong, Guangwu; Hu, Yuchong; Liu, Shikai; Zhou, Jianwei; Shou, Huafeng; Li, Lei",Triage performance of PAX1m/JAM3m in opportunistic cervical cancer screening of non?16/18 human papillomavirus-positive women: a multicenter prospective study in China,Clinical Epigenetics,,1868-7083,10.1186/s13148-024-01731-w,https://doi.org/10.1186/s13148-024-01731-w,"OBJECTIVES: In this study, we aimed to validate the performance of the PAX1 and JAM3 methylation (PAX1m/JAM3m) test as a triage tool for detecting cervical intraepithelial neoplasia grade 3 or worse (CIN3?+) in non-16/18 high-risk human papillomavirus-positive patients (non-16/18 hrHPV?+). METHODS: The triage performance of liquid-based cytology (LBC) and the PAX1m/JAM3m test for detecting CIN3?+?were compared. RESULTS: In total, 1851 participants had cervical histological outcomes and were included in the analysis. The sensitivity/specificity of the LBC test results with atypical squamous cells of undetermined significance or worse (LBC?≥?ASCUS) and the PAX1m/JAM3m test were 90.1%/26.7% and 84.8%/88.5%, respectively. PAX1m/JAM3m(?+) had the highest diagnostic AUC (0.866, 95% confidence interval (CI) 0.837-0.896) in the whole cohort. All cancers (n?=?20) were detected by PAX1m/JAM3m(+). Compared with LBC?≥?ASCUS, PAX1m/JAM3m(+) reduced the number of patients who needed referral for colposcopy by 57.21% (74.66% vs. 17.45%). The odds ratios for detecting CIN3?+?by LBC?≥?ASCUS and PAX1m/JAM3m(+) were 3.3 (95% CI 2.0-5.9) and 42.6 (27.1-69.6), respectively (p?<?0.001). The combination of LBC?≥?ASCUS or PAX1m/JAM3m(+) slightly increased the diagnostic sensitivity (98.0%, 95% CI: 95.8-100%) and referral rate (77.09%) but reduced the diagnostic specificity (24.8%, 22.7-26.8%). CONCLUSIONS: In non-16/18 hrHPV(+) women, PAX1m/JAM3m was superior to cytology for detecting CIN3?+?. Compared with LBC?≥?ASCUS, PAX1m/JAM3m(+) reduced the number of significant referrals to colposcopy without compromising diagnostic sensitivity."
MJDHGTZ9,journalArticle,2024,"Li, Mingzhu; Zhao, Chao; Zhang, Xiaobo; Li, Jingran; Zhao, Yun; Zhang, Wei; Ren, Lihua; Wei, Lihui",PAX1/JAM3 Methylation and HPV Viral Load in Women with Persistent HPV Infection,Cancers,,2072-6694,10.3390/cancers16071430,https://www.mdpi.com/2072-6694/16/7/1430,"The relationship of PAX1/JAM3 methylation as well as HPV viral load (VL) with cervical lesions has been reported, but their role in persistent HPV infection without cervical high-grade lesions has not been fully elucidated. A total of 231 females diagnosed with persistent HPV infection and pathologically confirmed absence of high-grade cervical lesions were selected from the Colposcopy Outpatient Clinic of Peking University People's Hospital, from March 2023 to December 2023. They were categorized into two groups based on the duration of HPV infection: the HPV persistent less than 3 years group and the more than 3 years group. PAX1/JAM3 methylation and HPV VL were determined by real-time PCR and BioPerfectus Multiplex Real-Time (BMRT)-HPV reports type-specific VL/10,000 cells, respectively. The average age of individuals with HPV infection lasting more than 3 years was higher compared to those with less than 3 years (48.9 vs. 45.1 years), with a statistically significant difference. Among the participants, 81.8% (189/231) had no previous screening. The methylation levels of JAM3 and PAX1 were significantly higher in individuals with HPV infection persisting for more than 3 years compared to those with less than 3 years, with a statistically significant difference (p < 0.05). There was a significant correlation between PAX1 and JAM3 methylation (p < 0.001), which could be used as cumulative evidence of HPV infection duration before the occurrence of precancerous lesions. The incidence of vaginal intraepithelial lesions was higher in individuals with HPV infection persisting for more than 3 years compared to those with less than 3 years, and HPV VL can be used as an indicative biomarker for concurrent cervical-vaginal lesions, especially for HPV other than 16/18 genotypes."
IQZD83J8,journalArticle,2023,"Li, Xiang; He, Sili; Zhao, Xingping; Sun, Dan; Wu, Si; Xu, Dabao; Li, Yingjia",High-grade cervical lesions diagnosed by JAM3/PAX1 methylation in high-risk human papillomavirus-infected patients,Zhong Nan Da Xue Xue Bao. Yi Xue Ban = Journal of Central South University. Medical Sciences,,1672-7347,10.11817/j.issn.1672-7347.2023.230175,https://xbyxb.csu.edu.cn/zh/article/doi/10.11817/j.issn.1672-7347.2023.230175/,"OBJECTIVES: Currently, traditional cervical cancer screening methods, such as high-risk human papillomavirus testing and liquid based cytology (LBC), still possess limitations. This study aims to identify new diagnostic biomarkers to achieve the goal of ""precision screening"" via exploring the clinical value of DNA methylation [ΔCtP: paired box gene 1 (PAX1)and ΔCtJ: junctional adhesion molecule 3 (JAM3)] detection in cervical exfoliated cells for the diagnosis of high-grade cervical lesions. METHODS: A total of 136 patients who underwent gynecological examinations in the vaginal room of the Department of Gynecology at the Third Xiangya Hospital of Central South University from June 2021 to June 2022 were retrospectively studied. Among them, 122 patients had non-high-grade cervical lesions, and 14 patients had high-grade cervical lesions. The variables included general information (age, body mass index, and menopause status), LBC, high-risk human papillomavirus, cervical tissue pathology, vaginal examination results, and the ΔCt values of JAM3 and PAX1 gene methylation. Logistic regression analysis was used to identify the factors affecting the diagnosis of high-grade cervical lesions, followed by correlation analysis and construction of a conditional inference tree model. RESULTS: Logistic regression analysis showed that the methylation ΔCt values of PAX1 and JAM3 genes and LBC detection results were statistically significant between the high-grade cervical lesions group and the non-high-grade cervical lesions group (all P<0.05). Correlation analysis revealed a negative correlation between cervical pathological changes and ΔCtP (r=-0.36, P<0.001), ΔCtJ (r=-0.448, P<0.001), LBC (r=-0.305, P<0.001), or bacterial diversity (r=-0.183, P=0.037). The conditional inference tree showed that when ΔCtJ>10.13, all of patients had non-high-grade cervical lesions, while ΔCtP>6.22, the number of non-high-grade lesions accounted for 97.5% (117/120), and high-grade lesions accounted for only 2.5% (3/120). When ΔCtJ>8.61 and LBC were atypical squamous cell of undetermined significance or negative for intraepithelial lesions or malignancy (NILM), 105 (99.1%) patients were non-high-grade cervical lesions, only 1 (0.9%) patient was high-grade lesion. When the results of LBC were high-grade lesions, only 9 patients' histopathological examination was the high-grade lesions and 3 non-high-grade lesions. When LBC indicated low-grade lesions, atypical squamous cell of undetermined significance, no intraepithelial lesions, and ΔCtP>6.22, 117 (97.5%) of patients' histopathological examination was the non-high-grade lesions. CONCLUSIONS: The JAM3/PAX1 gene methylation test can be used independently for the stratified diagnosis of high-grade/non-high-grade cervical lesions in women with high-risk human papillomavirus infection, independent of the cytological results of cervical excision. The JAM3/PAX1 gene methylation test can also be used in combination with LBC to make up for the shortcomings of low sensitivity of LBC. In addition, the application of methylation kit in large-scale cervical cancer screening in the future will be good to the detection of more patients with high-grade cervical lesions, and achieve early screening and early treatment for cervical lesions/cancer."
H4XDMLI5,journalArticle,2024,"Chen, Xiaoyan; Jiang, Haimin; Xu, Hubin; Wang, Linhai; Liu, Pei; Ma, Dongxue; Wang, Hui; Shou, Huafeng; Fang, Xuqian",Cervical cancer screening: efficacy of PAX1 and JAM3 methylation assay in the triage of atypical squamous cell of undetermined significance (ASC-US),BMC cancer,,1471-2407,10.1186/s12885-024-13082-z,https://bmccancer.biomedcentral.com/articles/10.1186/s12885-024-13082-z,"BACKGROUND: Atypical squamous cells of undetermined significance (ASC-US) often present diagnostic challenges with cytology-based results, leading to potential underdiagnosis or overdiagnosis. An effective triage method is essential for managing these cases to reduce unnecessary referrals and treatment. METHODS: A total of 322 women diagnosed with ASC-US were tested for HPV-DNA and the PAX1 and JAM3 methylation (PAX1m/JAM3m) test in the study. RESULTS: Methylation levels of PAX1 and JAM3 were significantly elevated in cervical lesions classified as CIN2 or more severe lesions (CIN2+). The methylation assay demonstrated a sensitivity of 83.8% and a specificity of 95.8%, outperforming HPV-DNA testing in differentiating high-grade cervical lesions among women with ASC-US. Moreover, PAX1m/JAM3m testing significantly reduced the colposcopy referral rate for further diagnostic procedures in high-risk HPV-positive women by 79.5%. CONCLUSIONS: PAX1m/JAM3m testing shows promise as a reliable supplemental method to HPV-DNA testing for the triage of women with cytologic ASC-US. In addition, the molecular triage based on the CISCER assay or single PAX1 or JAM3 methylation, had better effects in the women with non-HPV16/18 group. This approach could potentially minimize overtreatment and unnecessary referrals in clinical practice, enhancing patient management and resource utilization."
CXC4XBUT,journalArticle,2024,"Liang, Hui; Liu, Yao; Yin, Suyue; Jiang, Mengyu; Dou, Qiuyan; Wang, Hanhan; Liu, Jie; Chen, Yibo; Liu, Pei; Wang, Jing; Wang, Yishan; Wu, Zhe",Assessment of PAX1 and JAM3 methylation triage efficacy across HPV genotypes and age groups in high-risk HPV-positive women in China,Frontiers in Oncology,,2234-943X,10.3389/fonc.2024.1481626,https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2024.1481626/full,"OBJECTIVE: This study aimed to evaluate the clinical utility of PAX1/JAM3 methylation (CISCER) test in triaging high-risk human papillomavirus (hrHPV)-positive women. METHODS: We enrolled women who underwent opportunistic screening at Cervical Disease outpatient clinics of Xuzhou Maternity and Child Health Hospital, and Yueyang Central Hospital from December 2022 to May 2024. The effectiveness of CISCER and cytology tests in triaging hrHPV+ patients was analyzed. RESULTS: Among the 436 study participants, 283 (64.9%) had no cervical intraepithelial neoplasia (CIN), while 53 (12.2%) had CIN1, 40 (9.2%) had CIN2, 34 (7.8%) had CIN3, and 26 (5.9%) had cervical cancers. The CISCER tests identified all cases of cervical cancer, particularly 2 hrHPV-negative adenocarcinoma cases. In 396 hrHPV+ individuals, the sensitivity of CISCER tests for detecting CIN2+ lesions was 92.6% (95% CI: 87.2-97.9%), with a specificity of 95.7% (95% CI: 93.4-98%), and an area under the receiver operating characteristic curve (AUC) of 0.941 (95% CI: 0.903-0.979), outperforming cytology tests in both HPV16/18+ and non-16/18 hrHPV+ women. Notably, CISCER demonstrated 100% (95% CI: 90-100%) sensitivity in women aged≥50 and 100% (95%CI: 93.6-100%) specificity in women aged<30. Among CIN2+ women, 37.2% (including 3 cancer) showed low-grade cytological changes that could be detected by CISCER. Meanwhile, 52% of CIN2- women exhibited cytological abnormalities but had negative CISCER results. The immediate CIN3+ risk based on positive CISCER results was 54% (95% CI: 43.8-63.9%). CONCLUSION: The PAX1/JAM3 methylation detection using cervical exfoliated cells showed superior triage performance for hrHPV-positive patients compared to traditional strategies."
GZ8XGI78,journalArticle,2024,"Sun, Dan; Shu, Changfa; Zeng, Fei; Xu, Dabao; Zhao, Xingping",The performance of JAM3/PAX1 methylation in the diagnosis of high-grade squamous intraepithelial lesions for women with high-risk HPV infection,BMC cancer,,1471-2407,10.1186/s12885-024-13299-y,https://bmccancer.biomedcentral.com/articles/10.1186/s12885-024-13299-y,"OBJECTIVE: To assess the clinical value of DNA methylation measurement in exfoliated cervical cells for distinguishing high-grade squamous intraepithelial lesions (HSIL) from other cervical abnormalities. METHODS: A total of 276 patients were enrolled, and general clinical information was collected. Exfoliated cervical cells were obtained to assess human papillomavirus (HPV) infection, conduct ThinPrep cytology tests (TCT), and measure methylation levels of JAM3 (△CtJ) and PAX1 (△CtP). Logistic regression was performed to identify factors significantly associated with HSIL diagnosis. A conditional inference tree model and the area under the curve (AUC) were employed to evaluate the efficacy of JAM3 and PAX1 methylation in detecting HSIL. RESULTS: Independent risk factors for HSIL diagnosis included △CtJ, △CtP, atypical squamous cells of undetermined significance (ASCUS), and HPV16 infection. The conditional inference tree indicated that 96.4% of patients were non-HSIL when △CtJ?>?11.66, and 99.1% were non-HSIL when △CtP?>?10.97. The diagnostic performance of △CtJ/△CtP surpassed that of TCT/HPV alone. Among six methods, the combination of △CtP, TCT, and high-risk HPV (hr-HPV) testing achieved the highest sensitivity (91.2%), positive predictive value (50.0%), negative predictive value (98.6%), and AUC (0.932). CONCLUSION: In women with hr-HPV infection, DNA methylation analysis of cervical cytology outperformed traditional TCT or HPV testing. The combination of △CtP with TCT and HPV may offer the most accurate screening approach for HSIL."
Q9FN5FG3,journalArticle,2025,"Su, Haiqi; Jin, Xitong; Kong, Linghua; You, Yan; Wu, Huanwen; Liou, Yuligh; Li, Lei","The triage role of cytological DNA methylation in women with non-16/18, specifically genotyping high-risk HPV infection",British Journal of Cancer,,1532-1827,10.1038/s41416-025-03005-5,https://www.nature.com/articles/s41416-025-03005-5,"OBJECTIVES: To evaluate cytological DNA methylation testing methods for risk stratification in women with non-16/18 HPV, focusing on high-risk HPV (hrHPV) genotyping. METHODS: This study compared the triage performance of liquid-based cytology (LBC) testing, hrHPV genotyping, and PAX1/JAM3 gene methylation (CISCER) testing. The absolute risks of cervical intraepithelial neoplasia grade 2 or worse (CIN2+), grade 3 or worse (CIN3+), and colposcopy referral rates were calculated. RESULTS: The CISCER test showed a CIN3+ risk of 39.1% for positive and 0.9% for negative results. In comparison, LBC?≥?ASCUS and HPV33/35 genotyping had CIN3+ risks of 9.8% and 19.3%, respectively, for positive result. The colposcopy referral rates were 17.4% for CISCER+, 61.9% for LBC?≥?ASCUS, and 8.9% for HPV33/35+ genotyping. The CIN3+ risks were 40.0% and 50.0% when CISCER+ was combined with LBC?≥?ASCUS and HPV33/35+, respectively. The CIN3+ risks were 0.0% and 1.0% when CISCER- was combined with LBC with no intraepithelial lesions or malignancy (NILM) and non-HPV33/35, respectively. Our analysis of CIN2+ patients yielded similar results. CONCLUSIONS: DNA methylation testing outperformed LBC in triaging women with non-16/18 hrHPV infections, significantly reducing unnecessary colposcopy referrals, particularly when combined with HPV33/35 genotyping."
